n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,root_is_leader,filename
20,3,1,1,0,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.3716332192078667,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration0
20,3,1,1,1,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.37659019198264126,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration1
20,3,1,1,2,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.37468733745969846,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration2
20,3,1,1,3,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.3799020888573874,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration3
20,3,1,1,4,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.382402303533383,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration4
20,3,1,1,5,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.38823278403039496,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration5
20,3,1,1,6,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.3838927974580582,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration6
20,3,1,1,7,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.3756619030174984,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration7
20,3,1,1,8,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.37496726814915915,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration8
20,3,1,1,9,0.41666666666666663,0.9459053029269173,0.6931471805599452,0.3780458085863599,False,prices_model_n20_m3_k01_initial_nodes1_p0.42_iteration9
20,3,1,1,0,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.3719102890529949,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration0
20,3,1,1,1,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.371282680073427,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration1
20,3,1,1,2,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.37797818519543835,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration2
20,3,1,1,3,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.3768205830618234,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration3
20,3,1,1,4,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.37236143513187153,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration4
20,3,1,1,5,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.3772400941139266,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration5
20,3,1,1,6,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.38248821302419506,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration6
20,3,1,1,7,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.36995529485215894,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration7
20,3,1,1,8,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.3755332364388553,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration8
20,3,1,1,9,0.4583333333333333,0.9459053029269173,0.6931471805599452,0.3726786049727289,False,prices_model_n20_m3_k01_initial_nodes1_p0.46_iteration9
20,3,1,1,0,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration0
20,3,1,1,1,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration1
20,3,1,1,2,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration2
20,3,1,1,3,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration3
20,3,1,1,4,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration4
20,3,1,1,5,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration5
20,3,1,1,6,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration6
20,3,1,1,7,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration7
20,3,1,1,8,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration8
20,3,1,1,9,0.5,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.5_iteration9
20,3,1,1,0,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration0
20,3,1,1,1,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration1
20,3,1,1,2,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration2
20,3,1,1,3,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration3
20,3,1,1,4,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration4
20,3,1,1,5,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration5
20,3,1,1,6,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration6
20,3,1,1,7,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration7
20,3,1,1,8,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration8
20,3,1,1,9,0.5416666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.54_iteration9
20,3,1,1,0,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration0
20,3,1,1,1,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration1
20,3,1,1,2,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration2
20,3,1,1,3,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration3
20,3,1,1,4,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration4
20,3,1,1,5,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration5
20,3,1,1,6,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration6
20,3,1,1,7,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration7
20,3,1,1,8,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration8
20,3,1,1,9,0.5833333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.58_iteration9
20,3,1,1,0,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration0
20,3,1,1,1,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration1
20,3,1,1,2,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration2
20,3,1,1,3,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration3
20,3,1,1,4,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration4
20,3,1,1,5,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration5
20,3,1,1,6,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration6
20,3,1,1,7,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration7
20,3,1,1,8,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration8
20,3,1,1,9,0.625,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.62_iteration9
20,3,1,1,0,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration0
20,3,1,1,1,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration1
20,3,1,1,2,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration2
20,3,1,1,3,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration3
20,3,1,1,4,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration4
20,3,1,1,5,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration5
20,3,1,1,6,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration6
20,3,1,1,7,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration7
20,3,1,1,8,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration8
20,3,1,1,9,0.6666666666666666,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.67_iteration9
20,3,1,1,0,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration0
20,3,1,1,1,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration1
20,3,1,1,2,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration2
20,3,1,1,3,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration3
20,3,1,1,4,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration4
20,3,1,1,5,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration5
20,3,1,1,6,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration6
20,3,1,1,7,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration7
20,3,1,1,8,0.7083333333333333,0.9816498172140428,0.0,0.0,False,prices_model_n20_m3_k01_initial_nodes1_p0.71_iteration8
